NumPoints = 19635
X = 0.726249; Y = 0.561703
X = 0.687087; Y = 0.560064
X = 0.752774; Y = 0.531213
X = 0.743447; Y = 0.523305
X = 0.739555; Y = 0.597632
X = 0.743103; Y = 0.601355
X = 0.722696; Y = 0.599234
X = 0.750147; Y = 0.536601
X = 0.761354; Y = 0.542763
X = 0.760837; Y = 0.536123
X = 0.685009; Y = 0.582091
X = 0.689944; Y = 0.586665
X = 0.760505; Y = 0.552139
X = 0.766327; Y = 0.547386
X = 0.770766; Y = 0.544236
X = 0.766873; Y = 0.539094
X = 0.765502; Y = 0.533957
X = 0.768924; Y = 0.556728
X = 0.769927; Y = 0.551525
X = 0.775313; Y = 0.537068
X = 0.775742; Y = 0.543162
X = 0.729083; Y = 0.528396
X = 0.724036; Y = 0.529848
X = 0.721217; Y = 0.539952
X = 0.754734; Y = 0.60247
X = 0.745917; Y = 0.605631
X = 0.755905; Y = 0.607812
X = 0.6867; Y = 0.552484
X = 0.68023; Y = 0.558538
X = 0.681979; Y = 0.566303
X = 0.713415; Y = 0.595937
X = 0.714086; Y = 0.538146
X = 0.719081; Y = 0.532227
X = 0.719921; Y = 0.545277
X = 0.70099; Y = 0.539579
X = 0.707969; Y = 0.541175
X = 0.697593; Y = 0.547029
X = 0.765161; Y = 0.567071
X = 0.701255; Y = 0.534184
X = 0.708364; Y = 0.534145
X = 0.675656; Y = 0.561247
X = 0.676712; Y = 0.570557
X = 0.684899; Y = 0.575679
X = 0.675836; Y = 0.57709
X = 0.762208; Y = 0.528458
X = 0.672323; Y = 0.553225
X = 0.670443; Y = 0.566968
X = 0.666537; Y = 0.558039
X = 0.677333; Y = 0.552112
X = 0.765606; Y = 0.573634
X = 0.760317; Y = 0.600638
X = 0.751089; Y = 0.611213
X = 0.667539; Y = 0.572681
X = 0.769398; Y = 0.530442
X = 0.758124; Y = 0.531698
X = 0.767444; Y = 0.524905
X = 0.713703; Y = 0.532821
X = 0.712775; Y = 0.52613
X = 0.719028; Y = 0.52609
X = 0.725792; Y = 0.523503
X = 0.722558; Y = 0.517768
X = 0.713444; Y = 0.5178
X = 0.782557; Y = 0.543673
X = 0.777745; Y = 0.552603
X = 0.781278; Y = 0.537565
X = 0.770044; Y = 0.581604
X = 0.76524; Y = 0.579318
X = 0.759746; Y = 0.578683
X = 0.771046; Y = 0.574498
X = 0.76746; Y = 0.56261
X = 0.687872; Y = 0.547008
X = 0.680927; Y = 0.54765
X = 0.774031; Y = 0.568463
X = 0.69311; Y = 0.549983
X = 0.774864; Y = 0.560467
X = 0.778934; Y = 0.547416
X = 0.765317; Y = 0.608191
X = 0.757495; Y = 0.613761
X = 0.665111; Y = 0.549578
X = 0.674432; Y = 0.54601
X = 0.79048; Y = 0.542003
X = 0.787847; Y = 0.54826
X = 0.782906; Y = 0.550685
X = 0.786952; Y = 0.535337
X = 0.795375; Y = 0.536089
X = 0.793889; Y = 0.546712
X = 0.797362; Y = 0.542072
X = 0.764623; Y = 0.614756
X = 0.772976; Y = 0.602985
X = 0.771946; Y = 0.611909
X = 0.767243; Y = 0.600466
X = 0.662314; Y = 0.570018
X = 0.663746; Y = 0.577056
X = 0.669788; Y = 0.578445
X = 0.658402; Y = 0.575587
X = 0.774764; Y = 0.531751
X = 0.784272; Y = 0.531107
X = 0.658714; Y = 0.580891
X = 0.655478; Y = 0.568596
X = 0.649541; Y = 0.573928
X = 0.663802; Y = 0.583594
X = 0.649507; Y = 0.579145
X = 0.800227; Y = 0.549007
X = 0.806345; Y = 0.542937
X = 0.800595; Y = 0.534911
X = 0.751661; Y = 0.526236
X = 0.756607; Y = 0.522109
X = 0.775309; Y = 0.525326
X = 0.692289; Y = 0.538751
X = 0.762138; Y = 0.519128
X = 0.754258; Y = 0.513102
X = 0.760542; Y = 0.513626
X = 0.734944; Y = 0.605722
X = 0.741085; Y = 0.607699
X = 0.805064; Y = 0.52926
X = 0.807998; Y = 0.537287
X = 0.798542; Y = 0.525898
X = 0.793549; Y = 0.529466
X = 0.781695; Y = 0.56341
X = 0.776511; Y = 0.572913
X = 0.781789; Y = 0.56848
X = 0.671976; Y = 0.583865
X = 0.678686; Y = 0.583947
X = 0.695904; Y = 0.534444
X = 0.723855; Y = 0.535195
X = 0.707272; Y = 0.51814
X = 0.705724; Y = 0.529645
X = 0.644459; Y = 0.573684
X = 0.642436; Y = 0.578402
X = 0.652609; Y = 0.564438
X = 0.644374; Y = 0.568536
X = 0.741539; Y = 0.515726
X = 0.751182; Y = 0.519311
X = 0.738193; Y = 0.523599
X = 0.747683; Y = 0.515307
X = 0.638299; Y = 0.567617
X = 0.635839; Y = 0.573677
X = 0.749826; Y = 0.510351
X = 0.751887; Y = 0.50476
X = 0.758335; Y = 0.504574
X = 0.732454; Y = 0.516544
X = 0.718105; Y = 0.520302
X = 0.726308; Y = 0.514071
X = 0.723572; Y = 0.507926
X = 0.717967; Y = 0.512526
X = 0.770089; Y = 0.595784
X = 0.776502; Y = 0.59892
X = 0.660853; Y = 0.563466
X = 0.655572; Y = 0.559666
X = 0.697616; Y = 0.59146
X = 0.662918; Y = 0.554232
X = 0.632955; Y = 0.569232
X = 0.63012; Y = 0.562379
X = 0.637451; Y = 0.559066
X = 0.64438; Y = 0.56114
X = 0.69917; Y = 0.527885
X = 0.693869; Y = 0.529028
X = 0.68584; Y = 0.536502
X = 0.688031; Y = 0.530757
X = 0.688351; Y = 0.541991
X = 0.78596; Y = 0.556232
X = 0.792497; Y = 0.55525
X = 0.65284; Y = 0.550736
X = 0.657969; Y = 0.550325
X = 0.647498; Y = 0.555849
X = 0.689761; Y = 0.524221
X = 0.696447; Y = 0.520408
X = 0.780399; Y = 0.577452
X = 0.776442; Y = 0.580651
X = 0.695527; Y = 0.576779
X = 0.780039; Y = 0.557151
X = 0.678265; Y = 0.589001
X = 0.68169; Y = 0.593119
X = 0.638062; Y = 0.581784
X = 0.644183; Y = 0.587705
X = 0.720338; Y = 0.604768
X = 0.730498; Y = 0.602036
X = 0.726715; Y = 0.605818
X = 0.713658; Y = 0.601394
X = 0.70866; Y = 0.512947
X = 0.712667; Y = 0.509175
X = 0.642302; Y = 0.551901
X = 0.679032; Y = 0.540223
X = 0.773854; Y = 0.548303
X = 0.736215; Y = 0.512546
X = 0.733733; Y = 0.507113
X = 0.733382; Y = 0.525393
X = 0.708353; Y = 0.604237
X = 0.716417; Y = 0.608009
X = 0.705511; Y = 0.59734
X = 0.708179; Y = 0.609689
X = 0.705048; Y = 0.508581
X = 0.703356; Y = 0.513893
X = 0.703752; Y = 0.523552
X = 0.6741; Y = 0.537627
X = 0.666359; Y = 0.542304
X = 0.678575; Y = 0.532076
X = 0.673425; Y = 0.53134
X = 0.677755; Y = 0.524621
X = 0.699204; Y = 0.509801
X = 0.711073; Y = 0.50404
X = 0.702624; Y = 0.602425
X = 0.702928; Y = 0.608054
X = 0.653; Y = 0.587514
X = 0.644578; Y = 0.595479
X = 0.647794; Y = 0.583869
X = 0.636268; Y = 0.588054
X = 0.638763; Y = 0.595845
X = 0.65107; Y = 0.593418
X = 0.722255; Y = 0.500322
X = 0.729841; Y = 0.503866
X = 0.717968; Y = 0.504032
X = 0.685869; Y = 0.589907
X = 0.715346; Y = 0.499735
X = 0.755534; Y = 0.618677
X = 0.771946; Y = 0.617834
X = 0.761404; Y = 0.623808
X = 0.637378; Y = 0.55095
X = 0.630862; Y = 0.555033
X = 0.741158; Y = 0.509447
X = 0.785624; Y = 0.575796
X = 0.787569; Y = 0.567759
X = 0.787773; Y = 0.562087
X = 0.627398; Y = 0.587036
X = 0.630431; Y = 0.591919
X = 0.632897; Y = 0.584264
X = 0.773782; Y = 0.588416
X = 0.779623; Y = 0.586465
X = 0.784621; Y = 0.583424
X = 0.738197; Y = 0.501228
X = 0.733388; Y = 0.497807
X = 0.803626; Y = 0.557373
X = 0.807057; Y = 0.551188
X = 0.66317; Y = 0.533443
X = 0.661198; Y = 0.541491
X = 0.701928; Y = 0.502832
X = 0.696382; Y = 0.503811
X = 0.629658; Y = 0.579274
X = 0.784215; Y = 0.602211
X = 0.779216; Y = 0.605195
X = 0.780487; Y = 0.591459
X = 0.682909; Y = 0.528289
X = 0.668905; Y = 0.536541
X = 0.67142; Y = 0.541939
X = 0.644663; Y = 0.545059
X = 0.633175; Y = 0.54504
X = 0.632367; Y = 0.550168
X = 0.785141; Y = 0.596499
X = 0.785906; Y = 0.589598
X = 0.790183; Y = 0.58465
X = 0.792904; Y = 0.576916
X = 0.792823; Y = 0.570358
X = 0.653446; Y = 0.598793
X = 0.659564; Y = 0.588953
X = 0.656361; Y = 0.594375
X = 0.648516; Y = 0.60015
X = 0.641249; Y = 0.603192
X = 0.636193; Y = 0.537615
X = 0.627713; Y = 0.542307
X = 0.625831; Y = 0.550186
X = 0.630692; Y = 0.537806
X = 0.641026; Y = 0.539712
X = 0.725343; Y = 0.492202
X = 0.70981; Y = 0.592438
X = 0.676728; Y = 0.594914
X = 0.686613; Y = 0.595236
X = 0.684566; Y = 0.602636
X = 0.67799; Y = 0.601128
X = 0.673046; Y = 0.590276
X = 0.683533; Y = 0.543364
X = 0.618087; Y = 0.547072
X = 0.618483; Y = 0.552444
X = 0.780498; Y = 0.527553
X = 0.812882; Y = 0.532131
X = 0.808324; Y = 0.522955
X = 0.802964; Y = 0.521397
X = 0.649698; Y = 0.568841
X = 0.628455; Y = 0.5741
X = 0.623329; Y = 0.570696
X = 0.624473; Y = 0.56527
X = 0.798954; Y = 0.516542
X = 0.794465; Y = 0.521433
X = 0.807241; Y = 0.513885
X = 0.810907; Y = 0.517419
X = 0.690798; Y = 0.504567
X = 0.693251; Y = 0.513201
X = 0.668752; Y = 0.524522
X = 0.675577; Y = 0.520116
X = 0.68263; Y = 0.52187
X = 0.664035; Y = 0.595609
X = 0.660271; Y = 0.603376
X = 0.686813; Y = 0.497118
X = 0.683739; Y = 0.511521
X = 0.684418; Y = 0.504251
X = 0.694701; Y = 0.495795
X = 0.707988; Y = 0.498151
X = 0.716795; Y = 0.490291
X = 0.708948; Y = 0.493077
X = 0.625568; Y = 0.555244
X = 0.709365; Y = 0.487343
X = 0.704097; Y = 0.488177
X = 0.699495; Y = 0.49095
X = 0.702543; Y = 0.497676
X = 0.675895; Y = 0.512174
X = 0.666469; Y = 0.519866
X = 0.680263; Y = 0.515543
X = 0.671105; Y = 0.517239
X = 0.715064; Y = 0.4821
X = 0.710061; Y = 0.479385
X = 0.745958; Y = 0.506814
X = 0.749383; Y = 0.500415
X = 0.622754; Y = 0.543691
X = 0.620345; Y = 0.536503
X = 0.799338; Y = 0.553968
X = 0.798015; Y = 0.560282
X = 0.77522; Y = 0.593788
X = 0.697249; Y = 0.602632
X = 0.791817; Y = 0.589716
X = 0.793625; Y = 0.595614
X = 0.703142; Y = 0.592668
X = 0.717348; Y = 0.586401
X = 0.743271; Y = 0.495464
X = 0.737999; Y = 0.495767
X = 0.687713; Y = 0.515244
X = 0.665018; Y = 0.513083
X = 0.67214; Y = 0.508533
X = 0.677944; Y = 0.499511
X = 0.685911; Y = 0.489518
X = 0.681718; Y = 0.49618
X = 0.679345; Y = 0.491488
X = 0.655521; Y = 0.543998
X = 0.812884; Y = 0.545544
X = 0.809559; Y = 0.556475
X = 0.814578; Y = 0.555397
X = 0.667108; Y = 0.530329
X = 0.676308; Y = 0.504613
X = 0.669587; Y = 0.496636
X = 0.671051; Y = 0.50363
X = 0.674654; Y = 0.494215
X = 0.746506; Y = 0.61599
X = 0.738579; Y = 0.613674
X = 0.733363; Y = 0.613424
X = 0.700142; Y = 0.596698
X = 0.672032; Y = 0.602552
X = 0.670986; Y = 0.596968
X = 0.813854; Y = 0.524059
X = 0.812019; Y = 0.50866
X = 0.819533; Y = 0.522379
X = 0.815382; Y = 0.514771
X = 0.766858; Y = 0.516021
X = 0.758919; Y = 0.497782
X = 0.754477; Y = 0.500272
X = 0.693733; Y = 0.543792
X = 0.666715; Y = 0.589613
X = 0.617483; Y = 0.558189
X = 0.720286; Y = 0.482422
X = 0.717079; Y = 0.47494
X = 0.723416; Y = 0.487493
X = 0.729787; Y = 0.485412
X = 0.719966; Y = 0.495717
X = 0.655819; Y = 0.536324
X = 0.651208; Y = 0.540663
X = 0.65788; Y = 0.512407
X = 0.662098; Y = 0.522586
X = 0.662138; Y = 0.506183
X = 0.771403; Y = 0.508125
X = 0.771997; Y = 0.514548
X = 0.763512; Y = 0.509047
X = 0.775212; Y = 0.519341
X = 0.820631; Y = 0.551115
X = 0.819475; Y = 0.541156
X = 0.81426; Y = 0.539054
X = 0.815124; Y = 0.550134
X = 0.828126; Y = 0.525784
X = 0.825147; Y = 0.529876
X = 0.821916; Y = 0.515851
X = 0.816479; Y = 0.528542
X = 0.825564; Y = 0.520431
X = 0.62694; Y = 0.52902
X = 0.617585; Y = 0.529479
X = 0.611563; Y = 0.536919
X = 0.615904; Y = 0.53956
X = 0.625369; Y = 0.53714
X = 0.647048; Y = 0.537188
X = 0.799331; Y = 0.581714
X = 0.799036; Y = 0.587927
X = 0.82351; Y = 0.545516
X = 0.82089; Y = 0.556722
X = 0.612018; Y = 0.545738
X = 0.612185; Y = 0.556918
X = 0.612116; Y = 0.550866
X = 0.74876; Y = 0.487931
X = 0.743159; Y = 0.486151
X = 0.751318; Y = 0.494817
X = 0.626744; Y = 0.600897
X = 0.623684; Y = 0.594553
X = 0.743476; Y = 0.500927
X = 0.798376; Y = 0.510404
X = 0.790331; Y = 0.512866
X = 0.772972; Y = 0.502686
X = 0.777768; Y = 0.504517
X = 0.7758; Y = 0.51104
X = 0.766422; Y = 0.501505
X = 0.605266; Y = 0.546364
X = 0.60586; Y = 0.539675
X = 0.606985; Y = 0.553267
X = 0.783557; Y = 0.609904
X = 0.788171; Y = 0.607813
X = 0.778166; Y = 0.611338
X = 0.832599; Y = 0.517167
X = 0.825363; Y = 0.510914
X = 0.654894; Y = 0.517101
X = 0.653954; Y = 0.504843
X = 0.649511; Y = 0.51318
X = 0.800155; Y = 0.568716
X = 0.800242; Y = 0.573743
X = 0.79049; Y = 0.613921
X = 0.779319; Y = 0.617916
X = 0.78554; Y = 0.616504
X = 0.701612; Y = 0.518667
X = 0.817773; Y = 0.561681
X = 0.810208; Y = 0.562074
X = 0.652195; Y = 0.521359
X = 0.654724; Y = 0.527035
X = 0.66028; Y = 0.517594
X = 0.645118; Y = 0.517988
X = 0.631649; Y = 0.531116
X = 0.623608; Y = 0.523778
X = 0.635997; Y = 0.527008
X = 0.631224; Y = 0.523629
X = 0.62662; Y = 0.519293
X = 0.616631; Y = 0.569668
X = 0.615262; Y = 0.563174
X = 0.818311; Y = 0.567697
X = 0.804922; Y = 0.566764
X = 0.810296; Y = 0.568013
X = 0.80958; Y = 0.573526
X = 0.804874; Y = 0.578671
X = 0.620219; Y = 0.587939
X = 0.62023; Y = 0.598405
X = 0.616298; Y = 0.594516
X = 0.632554; Y = 0.598295
X = 0.62146; Y = 0.603376
X = 0.693211; Y = 0.599539
X = 0.787028; Y = 0.52528
X = 0.734881; Y = 0.48709
X = 0.751263; Y = 0.481496
X = 0.746083; Y = 0.480022
X = 0.740947; Y = 0.479207
X = 0.722074; Y = 0.476927
X = 0.725509; Y = 0.482796
X = 0.728849; Y = 0.477306
X = 0.819704; Y = 0.533877
X = 0.730215; Y = 0.493532
X = 0.649964; Y = 0.606044
X = 0.644945; Y = 0.610135
X = 0.639566; Y = 0.611181
X = 0.632687; Y = 0.606091
X = 0.684048; Y = 0.482773
X = 0.674752; Y = 0.486848
X = 0.678653; Y = 0.482636
X = 0.608; Y = 0.596641
X = 0.61291; Y = 0.588384
X = 0.614745; Y = 0.601319
X = 0.690846; Y = 0.604581
X = 0.691863; Y = 0.592301
X = 0.692977; Y = 0.609122
X = 0.740866; Y = 0.47173
X = 0.750172; Y = 0.473535
X = 0.696775; Y = 0.616424
X = 0.684963; Y = 0.610496
X = 0.690656; Y = 0.615394
X = 0.780667; Y = 0.516653
X = 0.698744; Y = 0.6228
X = 0.704794; Y = 0.618461
X = 0.703981; Y = 0.613352
X = 0.693546; Y = 0.624923
X = 0.705846; Y = 0.624689
X = 0.709747; Y = 0.620702
X = 0.708997; Y = 0.614833
X = 0.714653; Y = 0.6189
X = 0.709506; Y = 0.473755
X = 0.724142; Y = 0.469492
X = 0.717818; Y = 0.46879
X = 0.711778; Y = 0.466557
X = 0.785297; Y = 0.519777
X = 0.830397; Y = 0.544488
X = 0.826122; Y = 0.550347
X = 0.826956; Y = 0.538564
X = 0.72434; Y = 0.464129
X = 0.715983; Y = 0.46348
X = 0.720774; Y = 0.460414
X = 0.718582; Y = 0.613522
X = 0.61102; Y = 0.605332
X = 0.6143; Y = 0.60923
X = 0.605329; Y = 0.60229
X = 0.610286; Y = 0.576555
X = 0.610992; Y = 0.56712
X = 0.618416; Y = 0.575526
X = 0.657957; Y = 0.531331
X = 0.72583; Y = 0.616484
X = 0.739064; Y = 0.621291
X = 0.725759; Y = 0.61147
X = 0.757574; Y = 0.490822
X = 0.733468; Y = 0.47949
X = 0.732527; Y = 0.472975
X = 0.66873; Y = 0.490877
X = 0.660965; Y = 0.49578
X = 0.665447; Y = 0.500954
X = 0.616501; Y = 0.582586
X = 0.62356; Y = 0.580429
X = 0.731989; Y = 0.618933
X = 0.726833; Y = 0.621404
X = 0.616371; Y = 0.616033
X = 0.619916; Y = 0.608429
X = 0.60998; Y = 0.611748
X = 0.720943; Y = 0.619086
X = 0.803632; Y = 0.584468
X = 0.781718; Y = 0.509395
X = 0.786636; Y = 0.50774
X = 0.792041; Y = 0.507562
X = 0.750606; Y = 0.626402
X = 0.751061; Y = 0.620978
X = 0.823513; Y = 0.570621
X = 0.825886; Y = 0.561349
X = 0.8198; Y = 0.576191
X = 0.820219; Y = 0.508447
X = 0.793705; Y = 0.502448
X = 0.789347; Y = 0.499405
X = 0.782883; Y = 0.502813
X = 0.776309; Y = 0.496564
X = 0.782332; Y = 0.496504
X = 0.811877; Y = 0.585019
X = 0.810213; Y = 0.580243
X = 0.814288; Y = 0.575298
X = 0.81869; Y = 0.582424
X = 0.79127; Y = 0.494206
X = 0.798563; Y = 0.495884
X = 0.788068; Y = 0.490058
X = 0.775987; Y = 0.491408
X = 0.701441; Y = 0.629023
X = 0.686694; Y = 0.622835
X = 0.691694; Y = 0.632378
X = 0.718461; Y = 0.626268
X = 0.732356; Y = 0.628106
X = 0.724695; Y = 0.626218
X = 0.727994; Y = 0.456064
X = 0.729; Y = 0.466424
X = 0.731437; Y = 0.460532
X = 0.679148; Y = 0.606348
X = 0.829277; Y = 0.555011
X = 0.689006; Y = 0.509341
X = 0.698693; Y = 0.611003
X = 0.76839; Y = 0.496025
X = 0.650996; Y = 0.532585
X = 0.648381; Y = 0.525608
X = 0.831884; Y = 0.575826
X = 0.829303; Y = 0.569465
X = 0.824439; Y = 0.57899
X = 0.800855; Y = 0.594937
X = 0.795329; Y = 0.604533
X = 0.789194; Y = 0.601649
X = 0.800003; Y = 0.601703
X = 0.656666; Y = 0.500499
X = 0.678274; Y = 0.612441
X = 0.681535; Y = 0.618296
X = 0.639877; Y = 0.522763
X = 0.634932; Y = 0.519451
X = 0.78079; Y = 0.488652
X = 0.779199; Y = 0.482293
X = 0.772672; Y = 0.486054
X = 0.76993; Y = 0.49047
X = 0.599687; Y = 0.598059
X = 0.602408; Y = 0.593219
X = 0.608068; Y = 0.587034
X = 0.785415; Y = 0.514661
X = 0.683323; Y = 0.627544
X = 0.601962; Y = 0.579812
X = 0.61101; Y = 0.582094
X = 0.602356; Y = 0.584798
X = 0.674398; Y = 0.623714
X = 0.681466; Y = 0.633086
X = 0.677318; Y = 0.630123
X = 0.684046; Y = 0.476146
X = 0.672663; Y = 0.481663
X = 0.675808; Y = 0.477239
X = 0.727409; Y = 0.498448
X = 0.83334; Y = 0.525224
X = 0.83055; Y = 0.530992
X = 0.804163; Y = 0.591016
X = 0.809257; Y = 0.592218
X = 0.71313; Y = 0.624972
X = 0.707111; Y = 0.629532
X = 0.630689; Y = 0.512363
X = 0.638964; Y = 0.512615
X = 0.625733; Y = 0.5053
X = 0.621678; Y = 0.514414
X = 0.635356; Y = 0.507802
X = 0.631133; Y = 0.503234
X = 0.715457; Y = 0.634846
X = 0.720488; Y = 0.631842
X = 0.826222; Y = 0.58414
X = 0.823776; Y = 0.590471
X = 0.818458; Y = 0.589945
X = 0.766426; Y = 0.482296
X = 0.775669; Y = 0.476729
X = 0.673406; Y = 0.609972
X = 0.675538; Y = 0.617713
X = 0.761148; Y = 0.485858
X = 0.660444; Y = 0.490074
X = 0.653309; Y = 0.493951
X = 0.62629; Y = 0.607869
X = 0.781622; Y = 0.624244
X = 0.775389; Y = 0.626201
X = 0.638811; Y = 0.532717
X = 0.754997; Y = 0.486447
X = 0.758948; Y = 0.47877
X = 0.814501; Y = 0.59343
X = 0.795435; Y = 0.489001
X = 0.779326; Y = 0.470122
X = 0.76683; Y = 0.472606
X = 0.770485; Y = 0.477161
X = 0.78529; Y = 0.476016
X = 0.77348; Y = 0.469471
X = 0.704564; Y = 0.482066
X = 0.701521; Y = 0.475911
X = 0.705312; Y = 0.470301
X = 0.707013; Y = 0.464625
X = 0.679524; Y = 0.622911
X = 0.64009; Y = 0.517677
X = 0.643663; Y = 0.510901
X = 0.645833; Y = 0.506085
X = 0.602745; Y = 0.556157
X = 0.734688; Y = 0.455297
X = 0.741291; Y = 0.458956
X = 0.736193; Y = 0.46296
X = 0.795536; Y = 0.566121
X = 0.593658; Y = 0.584519
X = 0.598954; Y = 0.575665
X = 0.595271; Y = 0.591264
X = 0.795148; Y = 0.611627
X = 0.788656; Y = 0.62066
X = 0.793629; Y = 0.622988
X = 0.797419; Y = 0.619382
X = 0.711153; Y = 0.461217
X = 0.714301; Y = 0.454209
X = 0.63602; Y = 0.602052
X = 0.604224; Y = 0.569744
X = 0.834017; Y = 0.564727
X = 0.718893; Y = 0.642804
X = 0.710483; Y = 0.636688
X = 0.712308; Y = 0.641771
X = 0.723662; Y = 0.639769
X = 0.732688; Y = 0.635755
X = 0.741059; Y = 0.628822
X = 0.737541; Y = 0.63348
X = 0.697407; Y = 0.633136
X = 0.703331; Y = 0.636254
X = 0.624867; Y = 0.617032
X = 0.746318; Y = 0.469994
X = 0.746205; Y = 0.464461
X = 0.713222; Y = 0.630201
X = 0.591491; Y = 0.603262
X = 0.600431; Y = 0.603844
X = 0.594563; Y = 0.599034
X = 0.590745; Y = 0.595132
X = 0.695297; Y = 0.484989
X = 0.698949; Y = 0.480913
X = 0.830625; Y = 0.512303
X = 0.694488; Y = 0.476025
X = 0.691831; Y = 0.491625
X = 0.689511; Y = 0.485068
X = 0.631475; Y = 0.614503
X = 0.678583; Y = 0.469608
X = 0.68848; Y = 0.473092
X = 0.803456; Y = 0.500432
X = 0.806566; Y = 0.493432
X = 0.801298; Y = 0.489995
X = 0.824715; Y = 0.504088
X = 0.833106; Y = 0.507631
X = 0.819752; Y = 0.503247
X = 0.674779; Y = 0.634908
X = 0.682082; Y = 0.63814
X = 0.667847; Y = 0.627838
X = 0.669986; Y = 0.63252
X = 0.721487; Y = 0.454727
X = 0.809605; Y = 0.597842
X = 0.804897; Y = 0.599837
X = 0.722279; Y = 0.449721
X = 0.707418; Y = 0.45238
X = 0.71468; Y = 0.446572
X = 0.800241; Y = 0.615147
X = 0.80031; Y = 0.625594
X = 0.803404; Y = 0.619977
X = 0.766413; Y = 0.622514
X = 0.770386; Y = 0.633183
X = 0.768178; Y = 0.627731
X = 0.780877; Y = 0.634231
X = 0.774704; Y = 0.636177
X = 0.818135; Y = 0.600188
X = 0.813004; Y = 0.606789
X = 0.807691; Y = 0.604737
X = 0.62742; Y = 0.498137
X = 0.619818; Y = 0.507765
X = 0.625345; Y = 0.510777
X = 0.621952; Y = 0.497188
X = 0.763202; Y = 0.494112
X = 0.745581; Y = 0.455217
X = 0.751236; Y = 0.459904
X = 0.739432; Y = 0.449145
X = 0.642305; Y = 0.617783
X = 0.635855; Y = 0.617187
X = 0.729005; Y = 0.445153
X = 0.730209; Y = 0.450856
X = 0.717365; Y = 0.441713
X = 0.672249; Y = 0.473119
X = 0.679258; Y = 0.463961
X = 0.670624; Y = 0.465254
X = 0.686518; Y = 0.467876
X = 0.587805; Y = 0.590887
X = 0.70362; Y = 0.641736
X = 0.708613; Y = 0.648983
X = 0.716124; Y = 0.648023
